No,Ro,Lv,Part,Type,PN,A
1,2,1,vocab,short-single,1,1
2,2,1,vocab,short-single,2,3
3,2,1,vocab,short-multi,12,3
4,2,1,vocab,short-multi,13,1
5,2,1,vocab,short-multi,14,3
6,2,1,vocab,short-multi,15,3
7,2,1,vocab,short-multi,16,2
8,2,1,vocab,short-multi,20,2
9,2,1,vocab,short-multi,21,4
10,2,1,vocab,long-single,22,4
11,2,1,vocab,long-single,23,2
12,2,1,vocab,long-single,24,1
13,2,1,vocab,long-single,25,2
14,2,1,vocab,long-multi,27,4
15,2,1,vocab,long-multi,28,2
16,2,1,writing,short-multi,33,2
17,2,1,writing,short-multi,34,2
18,2,1,writing,short-multi,35,1
19,2,1,writing,short-multi,36,4
20,2,1,writing,short-multi,37,4
21,2,1,writing,short-multi,38,4
22,2,1,writing,short-multi,39,2
23,2,1,writing,short-multi,40,1
24,2,1,writing,short-multi,41,1
25,2,1,writing,short-multi,42,4
26,2,1,writing,short-single,48,2
27,2,1,writing,short-single,49,2
28,2,1,writing,long-multi,50,2
29,2,1,writing,long-multi,51,4
30,2,1,writing,long-multi,52,1
31,2,1,writing,long-multi,53,2
32,2,1,writing,long-multi,54,2
33,2,1,reading,short-multi,33,2
34,2,1,reading,short-multi,34,4
35,2,1,reading,short-multi,35,3
36,2,1,reading,short-multi,36,1
37,2,1,reading,short-single,38,2
38,2,1,reading,short-single,39,1
39,2,1,reading,long-single,56,3
40,2,1,reading,long-single,57,4
41,2,2,vocab,short-multi,8,3
42,2,2,vocab,short-multi,9,4
43,2,2,vocab,short-multi,10,1
44,2,2,vocab,short-multi,11,3
45,2,2,vocab,short-multi,12,4
46,2,2,vocab,short-multi,13,2
47,2,2,vocab,short-multi,14,3
48,2,2,vocab,short-multi,15,4
49,2,2,vocab,short-multi,16,2
50,2,2,vocab,short-multi,17,2
51,2,2,vocab,long-single,19,2
52,2,2,vocab,long-single,20,1
53,2,2,vocab,long-single,30,4
54,2,2,writing,short-multi,31,2
55,2,2,writing,short-multi,32,3
56,2,2,writing,short-multi,33,3
57,2,2,writing,short-multi,34,2
58,2,2,writing,short-multi,35,3
59,2,2,writing,short-multi,36,3
60,2,2,writing,short-multi,37,2
61,2,2,writing,short-multi,38,3
62,2,2,writing,short-multi,39,3
63,2,2,writing,short-multi,40,2
64,2,2,writing,short-single,46,3
65,2,2,writing,short-single,47,1
66,2,2,writing,short-single,48,2
67,2,2,writing,short-single,49,4
68,2,2,writing,short-single,50,1
69,2,2,writing,short-single,51,2
70,2,2,writing,long-single,52,3
71,2,2,writing,long-single,54,4
72,2,2,writing,long-single,56,2
73,2,2,writing,long-single,58,1
74,2,2,writing,long-single,59,4
75,2,2,writing,long-single,60,3
76,3,1,vocab,short-multi,12,3
77,3,1,vocab,short-multi,13,1
78,3,1,vocab,short-multi,14,4
79,3,1,vocab,short-multi,15,2
80,3,1,vocab,short-multi,16,1
81,3,1,vocab,short-multi,17,4
82,3,1,vocab,short-multi,18,3
83,3,1,vocab,short-multi,19,1
84,3,1,vocab,short-multi,20,2
85,3,1,vocab,long-single,23,4
86,3,1,vocab,long-single,24,3
87,3,1,vocab,long-multi,25,1
88,3,1,vocab,long-multi,26,1
89,3,1,vocab,long-multi,27,1
90,3,1,vocab,long-multi,28,3
91,3,1,vocab,long-multi,29,1
92,3,1,vocab,long-multi,30,4
93,3,1,writing,short-multi,33,3
94,3,1,writing,short-multi,34,4
95,3,1,writing,short-multi,35,4
96,3,1,writing,short-multi,36,2
97,3,1,writing,short-multi,37,3
98,3,1,writing,short-multi,38,3
99,3,1,writing,short-multi,39,4
100,3,1,writing,short-multi,40,2
101,3,1,writing,short-multi,41,3
102,3,1,writing,short-multi,42,2
103,3,1,writing,short-multi,43,3
104,3,1,writing,short-multi,44,3
105,3,1,writing,short-multi,45,4
106,3,1,writing,short-single,52,3
107,3,1,writing,short-single,53,1
108,3,1,writing,short-single,54,1
109,3,1,writing,long-multi,55,2
110,3,1,writing,long-multi,56,1
111,3,1,writing,long-multi,57,4
112,3,1,writing,long-multi,58,3
113,3,1,writing,long-multi,59,4
114,3,1,writing,long-multi,60,2
115,3,1,reading,short-single,37,4
116,3,1,reading,short-single,38,3
117,3,1,reading,short-single,39,1
118,3,1,reading,short-single,40,2
119,3,2,vocab,short-multi,13,4
120,3,2,vocab,short-multi,14,2
121,3,2,vocab,short-multi,15,3
122,3,2,vocab,short-multi,16,4
123,3,2,vocab,short-multi,17,2
124,3,2,vocab,short-multi,18,3
125,3,2,vocab,short-multi,19,2
126,3,2,vocab,short-multi,20,2
127,3,2,vocab,short-multi,21,3
128,3,2,vocab,short-multi,22,4
129,3,2,vocab,long-single,23,2
130,3,2,vocab,long-single,24,4
131,3,2,vocab,long-single,25,4
132,3,2,vocab,long-single,26,1
133,3,2,vocab,long-single,27,2
134,3,2,writing,short-multi,31,2
135,3,2,writing,short-multi,32,4
136,3,2,writing,short-multi,33,4
137,3,2,writing,short-multi,34,3
138,3,2,writing,short-multi,35,3
139,3,2,writing,short-multi,36,3
140,3,2,writing,short-multi,37,3
141,3,2,writing,short-multi,38,4
142,3,2,writing,short-single,39,2
143,3,2,writing,short-single,40,4
144,3,2,writing,short-single,41,3
